,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
2076,s797,Movie,Cloud 9,Paul Hoen,"Luke Benward, Dove Cameron, Mike Manning, Kiersey Clemons, Amy Farrington, Patrick Fabian",United States,"November 12, 2019",2014,TV-G,89 min,Sports,Two unlikely friends must overcome self-doubt to achieve their dreams.
2077,s798,Movie,College Road Trip,Roger Kumble,"Martin Lawrence, Raven-Symoné , Donny Osmond, Brenda Song, Will Sasso, Eshaya Draper",United States,"November 12, 2019",2008,G,84 min,Comedy,An overprotective dad joins his daughter in search of the perfect college.
2078,s798,Movie,College Road Trip,Roger Kumble,"Martin Lawrence, Raven-Symoné , Donny Osmond, Brenda Song, Will Sasso, Eshaya Draper",United States,"November 12, 2019",2008,G,84 min,Coming of Age,An overprotective dad joins his daughter in search of the perfect college.
2079,s798,Movie,College Road Trip,Roger Kumble,"Martin Lawrence, Raven-Symoné , Donny Osmond, Brenda Song, Will Sasso, Eshaya Draper",United States,"November 12, 2019",2008,G,84 min,Family,An overprotective dad joins his daughter in search of the perfect college.
2080,s799,Movie,Confessions of a Teenage Drama Queen,Sara Sugarman,"Lindsay Lohan, Adam Garcia, Glenne Headly, Alison Pill, Eli Marienthal, Megan Fox","Germany, United States","November 12, 2019",2004,PG,91 min,Comedy,A dramatic teen moves…and finds her new school already has a drama queen.
2081,s799,Movie,Confessions of a Teenage Drama Queen,Sara Sugarman,"Lindsay Lohan, Adam Garcia, Glenne Headly, Alison Pill, Eli Marienthal, Megan Fox","Germany, United States","November 12, 2019",2004,PG,91 min,Coming of Age,A dramatic teen moves…and finds her new school already has a drama queen.
2082,s800,TV Show,Coop & Cami Ask The World (Shorts),,,,"November 12, 2019",2018,TV-G,1 Season,Comedy,"Cooper and Cami Wrather co-host ""Would You Wrather."""
2083,s800,TV Show,Coop & Cami Ask The World (Shorts),,,,"November 12, 2019",2018,TV-G,1 Season,Family,"Cooper and Cami Wrather co-host ""Would You Wrather."""
2084,s800,TV Show,Coop & Cami Ask The World (Shorts),,,,"November 12, 2019",2018,TV-G,1 Season,Game Show / Competition,"Cooper and Cami Wrather co-host ""Would You Wrather."""
2085,s801,Movie,Corn Chips,Jack Hannah,,United States,"November 12, 2019",1951,TV-G,7 min,Animation,"Donald tricks Chip 'n Dale into shoveling snow, but the tables turn. See details for advisory."
2086,s801,Movie,Corn Chips,Jack Hannah,,United States,"November 12, 2019",1951,TV-G,7 min,Comedy,"Donald tricks Chip 'n Dale into shoveling snow, but the tables turn. See details for advisory."
2087,s801,Movie,Corn Chips,Jack Hannah,,United States,"November 12, 2019",1951,TV-G,7 min,Family,"Donald tricks Chip 'n Dale into shoveling snow, but the tables turn. See details for advisory."
2088,s802,Movie,Cow Belles,Francine McDougall,"Amanda Michalka, Alyson Michalka, Sheila McCarthy, Michael Trevino, Christian Serratos, Ron Gabriel",United States,"November 12, 2019",2006,TV-G,91 min,Comedy,Two ultra-spoiled sisters are put to work in their father's dairy.
2089,s802,Movie,Cow Belles,Francine McDougall,"Amanda Michalka, Alyson Michalka, Sheila McCarthy, Michael Trevino, Christian Serratos, Ron Gabriel",United States,"November 12, 2019",2006,TV-G,91 min,Coming of Age,Two ultra-spoiled sisters are put to work in their father's dairy.
2090,s803,TV Show,Crash & Bernstein,,"Cole Jensen, Tim Lagasse, Landry Bender, Oana Gregory, Aaron Landon",United States,"November 12, 2019",2012,TV-Y7,2 Seasons,Comedy,"The only boy in a family, Wyatt creates a puppet brother."
2091,s803,TV Show,Crash & Bernstein,,"Cole Jensen, Tim Lagasse, Landry Bender, Oana Gregory, Aaron Landon",United States,"November 12, 2019",2012,TV-Y7,2 Seasons,Fantasy,"The only boy in a family, Wyatt creates a puppet brother."
2092,s803,TV Show,Crash & Bernstein,,"Cole Jensen, Tim Lagasse, Landry Bender, Oana Gregory, Aaron Landon",United States,"November 12, 2019",2012,TV-Y7,2 Seasons,Kids,"The only boy in a family, Wyatt creates a puppet brother."
2093,s804,Movie,Dadnapped,Paul Hoen,"Emily Osment, David Henrie, Jason Earles, Jonathan Keltz, Moises Arias, Denzel Whitaker",United States,"November 12, 2019",2009,TV-G,85 min,Comedy,Melissa Morris is due for adventure when her novelist father goes missing.
2094,s804,Movie,Dadnapped,Paul Hoen,"Emily Osment, David Henrie, Jason Earles, Jonathan Keltz, Moises Arias, Denzel Whitaker",United States,"November 12, 2019",2009,TV-G,85 min,Mystery,Melissa Morris is due for adventure when her novelist father goes missing.
2095,s805,Movie,Darby O'Gill and the Little People,Robert Stevenson,"Albert Sharpe, Janet Munro, Sean Connery, Jimmy O'Dea, Kieron Moore, Estelle Winwood",United States,"November 12, 2019",1959,G,91 min,Family,"Seeking a pot of gold, Darby O'Gill must match wits with a leprechaun. See details for advisory."
2096,s805,Movie,Darby O'Gill and the Little People,Robert Stevenson,"Albert Sharpe, Janet Munro, Sean Connery, Jimmy O'Dea, Kieron Moore, Estelle Winwood",United States,"November 12, 2019",1959,G,91 min,Fantasy,"Seeking a pot of gold, Darby O'Gill must match wits with a leprechaun. See details for advisory."
2097,s805,Movie,Darby O'Gill and the Little People,Robert Stevenson,"Albert Sharpe, Janet Munro, Sean Connery, Jimmy O'Dea, Kieron Moore, Estelle Winwood",United States,"November 12, 2019",1959,G,91 min,Romance,"Seeking a pot of gold, Darby O'Gill must match wits with a leprechaun. See details for advisory."
2098,s806,TV Show,Darkwing Duck,,"Jim Cummings, Christine Cavanaugh, Terry McGovern, Frank Welker",United States,"November 12, 2019",1991,TV-Y7,2 Seasons,Action-Adventure,"Darkwing Duck tells the adventures of the superhero, aided by his sidekick Launchpad McQuack."
2099,s806,TV Show,Darkwing Duck,,"Jim Cummings, Christine Cavanaugh, Terry McGovern, Frank Welker",United States,"November 12, 2019",1991,TV-Y7,2 Seasons,Animation,"Darkwing Duck tells the adventures of the superhero, aided by his sidekick Launchpad McQuack."
2100,s806,TV Show,Darkwing Duck,,"Jim Cummings, Christine Cavanaugh, Terry McGovern, Frank Welker",United States,"November 12, 2019",1991,TV-Y7,2 Seasons,Kids,"Darkwing Duck tells the adventures of the superhero, aided by his sidekick Launchpad McQuack."
2101,s807,Movie,Davy Crockett and the River Pirates,Norman Foster,"Fess Parker, Buddy Ebsen, Jeff York, Kenneth Tobey, Clem Bevans, Irvin Ashkenazy",United States,"November 12, 2019",1956,G,81 min,Action-Adventure,Davy Crockett encounters pirates en route to New Orleans. See details for advisory.
